tmdb_id,imdb_id,title,original_title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,tmdb_vote_average,tmdb_vote_count,production_companies
760161,tt11851548,Orphan: First Kill,Orphan: First Kill,2022-07-27,2022,en,99,Horror | Thriller,10000000,9572765,3.1676,6.613,2245,Dark Castle Entertainment | Entertainment One | Eagle Vision
846778,tt14967618,Margaux,Margaux,2022-09-09,2022,en,104,Horror | Science Fiction,0,0,3.3038,5.9,200,Motion Picture Corporation of America | Brad Krevoy Television | Lighthouse Pictures
814800,tt9000184,Goodnight Mommy,Goodnight Mommy,2022-09-16,2022,en,91,Horror | Thriller | Mystery,0,0,3.4447,6.3,522,Animal Kingdom | Playtime
880841,tt2980152,Abandoned,Abandoned,2022-06-17,2022,en,102,Horror | Mystery | Thriller,0,60500,3.2401,5.826,291,Vertical
575322,tt5656994,Project Gemini,Звёздный разум,2022-01-06,2022,en,98,Science Fiction | Thriller,6000000,211674,2.8035,5.72,478,KD Studios
1013228,tt15807910,I Used to Be Famous,I Used to Be Famous,2022-09-09,2022,en,104,Comedy | Drama | Music,0,0,3.5427,6.985,205,Forty Foot Pictures
877957,tt15494038,Drifting Home,雨を告げる漂流団地,2022-09-09,2022,ja,121,Animation | Fantasy | Adventure,0,0,3.0019,7.373,318,Studio Colorido | Twin Engine
921655,tt11278476,Rescued by Ruby,Rescued by Ruby,2022-03-17,2022,en,93,Family | Drama,0,0,2.9408,7.481,348,Fezziwig Studios
642885,tt11909878,Hocus Pocus 2,Hocus Pocus 2,2022-09-27,2022,en,104,Fantasy | Comedy | Family,30000000,0,4.6928,7.171,1783,Walt Disney Pictures | Weimaraner Republic Pictures | David Kirschner Productions
791155,tt14001894,Secret Headquarters,Secret Headquarters,2022-08-12,2022,en,104,Action | Adventure | Comedy | Science Fiction | Family,0,0,2.8683,6.433,398,Paramount Pictures | Jerry Bruckheimer Films
843932,tt10931784,Nanny,Nanny,2022-11-23,2022,en,98,Horror | Drama,0,0,3.3593,5.353,217,LinLay Productions | Stay Gold Features | Topic Studios | Blumhouse Television
820446,tt11703710,Downton Abbey: A New Era,Downton Abbey: A New Era,2022-04-27,2022,en,124,Drama | Romance,40000000,92651384,3.7819,7.204,578,Carnival Films | Focus Features
787752,tt13403046,Fresh,Fresh,2022-03-03,2022,en,114,Horror | Thriller,0,0,3.0238,6.97,1793,Legendary Pictures | Hyperobject Industries
619730,tt10731256,Don't Worry Darling,Don't Worry Darling,2022-09-21,2022,en,123,Science Fiction | Mystery | Thriller,35000000,86700000,3.4075,6.771,2807,Vertigo Entertainment | New Line Cinema
654895,tt12215252,Run to You,Corro da te,2022-03-17,2022,it,113,Comedy | Romance,0,0,3.3295,6.8,384,Wildside | Vision Distribution
916405,tt15109082,The Quiet Girl,An Cailín Ciúin,2022-05-12,2022,ga,94,Drama,1,6,3.3441,7.5,514,Inscéal | Fís Éireann/Screen Ireland | TG4
735697,tt13145534,Incredible But True,Incroyable mais vrai,2022-06-15,2022,fr,74,Comedy | Fantasy | Mystery,4340000,2329813,2.8473,6.034,411,Diaphana Films | WTFilms | Atelier de Production | ARTE France Cinéma
823999,tt15307230,Diabolik: Ginko Attacks!,Diabolik - Ginko all'attacco!,2022-11-17,2022,it,111,Crime | Action,0,1228459,3.2538,6,478,Mompracem | Astorina S.A.C. | Emilia-Romagna Film Commission | RAI Cinema
886083,tt12788488,Deadstream,Deadstream,2022-10-20,2022,en,88,Horror | Comedy,0,1031519,3.4481,6.286,338,Winterspectre Entertainment | Jared R Cook Productions | Stonehaven Entertainment | Freeway CAM B.V.
420821,tt3513500,Chip 'n Dale: Rescue Rangers,Chip 'n Dale: Rescue Rangers,2022-05-20,2022,en,99,Animation | Family | Comedy | Adventure | Mystery,70000000,623190,3.3784,6.995,1321,Walt Disney Pictures | Mandeville Films
