"title","year","decade","genre_main","imdb_weighted_rating","budget","revenue","profit","profitability","log_budget","log_revenue","tag"
"Chariots of Fire",1981,"1980s","Drama",7.08672626497825,5500000,58972904,53472904,9.72234618181818,6.74036268949424,7.77065251424758,"Intermedia"
"Clash of the Titans",1981,"1980s","Adventure",6.88557661054779,1.2e+07,41092328,29092328,2.42436066666667,7.07918124604763,7.61376074600546,"Intermedia"
"Conan the Barbarian",1982,"1980s","Adventure",6.8956901461146,2e+07,73951475,53951475,2.69757375,7.30102999566398,7.86894684064491,"Intermedia"
"Death Hunt",1981,"1980s","Action",6.82520438187745,1e+07,5e+06,-5e+06,-0.5,7,6.69897000433602,"Intermedia"
"Death Wish II",1982,"1980s","Action",6.00741348856832,8e+06,4.5e+07,3.7e+07,4.625,6.90308998699194,7.65321251377534,"Intermedia"
"Dragonslayer",1981,"1980s","Fantasy",6.5801665845661,1.8e+07,14110013,-3889987,-0.216110388888889,7.25527250510331,7.14952741388374,"Intermedia"
"The Entity",1982,"1980s","Horror",6.67410056233818,9e+06,13277558,4277558,0.475284222222222,6.95424250943933,7.12311820721224,"Intermedia"
"Escape from New York",1981,"1980s","Science Fiction",7.09447838691862,6e+06,50244700,44244700,7.37411666666667,6.77815125038364,7.70109025749255,"Intermedia"
"Excalibur",1981,"1980s","Adventure",7.28427787305953,1.1e+07,3.5e+07,2.4e+07,2.18181818181818,7.04139268515823,7.54406804435028,"Intermedia"
"Eyewitness",1981,"1980s","Thriller",5.93542872567947,8500000,4500000,-4e+06,-0.470588235294118,6.92941892571429,6.65321251377534,"Baja calidad + poco rentable"
"The Fan",1981,"1980s","Drama",5.88412282811835,1e+07,3100000,-6900000,-0.69,7,6.49136169383427,"Baja calidad + poco rentable"
"The Final Conflict",1981,"1980s","Horror",5.52481388966194,5e+06,20471382,15471382,3.0942764,6.69897000433602,7.31114716238475,"Baja calidad + muy rentable"
"For Your Eyes Only",1981,"1980s","Adventure",6.69527815193734,2.8e+07,195300000,167300000,5.975,7.44715803134222,8.29070224328786,"Intermedia"
"Fort Apache, the Bronx",1981,"1980s","Crime",6.6369016248809,1e+07,65200000,55200000,5.52,7,7.81424759573192,"Intermedia"
"The Fox and the Hound",1981,"1980s","Adventure",7.19048513863335,1.2e+07,29800000,17800000,1.48333333333333,7.07918124604763,7.47421626407626,"Intermedia"
"Friday the 13th Part 2",1981,"1980s","Horror",6.10063705029843,1250000,21723464,20473464,16.3787712,6.09691001300806,7.33692907856572,"Intermedia"
"The Funhouse",1981,"1980s","Horror",5.91333689349553,2e+06,7886999,5886999,2.9434995,6.30102999566398,6.89691178576142,"Intermedia"
